txn_id,minute,amount,bank,network,payment_method,merchant,device,risk,route_id,health_state,success_probability,success,latency_ms
1,0,501.51,HDFC,Visa,CARD,Food,Android,LOW,R1,HEALTHY,0.986,1,166.37
2,1,335.59,Axis,Rupay,CARD,Shopping,Web,LOW,R3,HEALTHY,0.979,1,111.6
3,1,49.09,ICICI,UPI,UPI,Healthcare,iOS,LOW,R1,HEALTHY,0.986,1,138.32
4,1,1248.71,HDFC,UPI,UPI,Shopping,iOS,MEDIUM,R4,HEALTHY,0.983,1,189.32
5,1,249.0,HDFC,UPI,UPI,Food,iOS,LOW,R1,HEALTHY,0.986,1,155.81
6,1,943.1,Kotak,UPI,UPI,Electronics,iOS,LOW,R4,HEALTHY,0.983,1,185.2
7,1,2983.47,Axis,Rupay,CARD,Travel,Web,LOW,R3,HEALTHY,0.979,1,107.62
8,2,880.28,ICICI,Visa,CARD,Food,Android,MEDIUM,R3,HEALTHY,0.979,1,95.68
9,2,1439.72,HDFC,UPI,UPI,Shopping,iOS,LOW,R4,HEALTHY,0.983,1,205.93
10,2,197.84,Kotak,UPI,UPI,Electronics,iOS,LOW,R3,HEALTHY,0.979,1,95.32
11,3,30.17,SBI,UPI,UPI,Shopping,iOS,LOW,R3,HEALTHY,0.979,1,100.71
12,3,206.88,Axis,Mastercard,CARD,Shopping,Web,LOW,R3,HEALTHY,0.979,1,106.43
13,4,1508.67,Kotak,UPI,UPI,Shopping,Web,LOW,R1,HEALTHY,0.986,1,162.29
14,4,43.78,ICICI,Mastercard,CARD,Fuel,iOS,LOW,R1,HEALTHY,0.986,0,121.29
15,5,86.34,SBI,Mastercard,CARD,Shopping,Android,HIGH,R3,HEALTHY,0.979,1,101.1
16,5,33.04,HDFC,Visa,CARD,Shopping,Android,LOW,R2,HEALTHY,0.981,1,86.59
17,5,23.14,Axis,UPI,UPI,Shopping,Web,LOW,R3,HEALTHY,0.979,1,102.86
18,5,767.6,Axis,Rupay,CARD,Food,Web,LOW,R3,HEALTHY,0.979,1,113.04
19,6,295.18,ICICI,Visa,CARD,Electronics,Android,LOW,R2,HEALTHY,0.981,1,64.42
20,6,73.05,HDFC,UPI,UPI,Healthcare,Web,LOW,R4,HEALTHY,0.983,1,188.06
21,7,134.34,BOB,UPI,UPI,Shopping,Web,MEDIUM,R2,HEALTHY,0.981,1,87.76
