txn_id,minute,amount,bank,network,payment_method,merchant,device,risk,route_id,route_base_success_rate,route_base_latency_ms,route_cost_percent,route_success_rate_5m,route_success_rate_15m,route_avg_latency_5m,route_current_load,route_requests_1m,time_since_last_failure,route_flagged_down,bank_route_success_rate_15m,success
1,0,501.51,HDFC,Visa,CARD,Food,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,,,,0.0,0.0,9999.0,0.0,0.9731147540983607,1
2,1,335.59,Axis,Rupay,CARD,Shopping,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,,,,0.0,0.0,9999.0,0.0,0.9496744677107161,1
3,1,49.09,ICICI,UPI,UPI,Healthcare,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,166.37,1.0,1.0,9999.0,0.0,0.9731147540983607,1
4,1,1248.71,HDFC,UPI,UPI,Shopping,iOS,MEDIUM,R4,0.9644351464435147,189.73578451882847,1.75,,,,0.0,0.0,9999.0,0.0,0.9644351464435147,1
5,1,249.0,HDFC,UPI,UPI,Food,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,166.37,1.0,1.0,9999.0,0.0,0.975558867362146,1
6,1,943.1,Kotak,UPI,UPI,Electronics,iOS,LOW,R4,0.9644351464435147,189.73578451882847,1.75,,,,0.0,0.0,9999.0,0.0,0.9644351464435147,1
7,1,2983.47,Axis,Rupay,CARD,Travel,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,,,,0.0,0.0,9999.0,0.0,0.9496744677107161,1
8,2,880.28,ICICI,Visa,CARD,Food,Android,MEDIUM,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.61,2.0,2.0,9999.0,0.0,0.9496744677107161,1
9,2,1439.72,HDFC,UPI,UPI,Shopping,iOS,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,187.26,2.0,2.0,9999.0,0.0,0.9676683149486497,1
10,2,197.84,Kotak,UPI,UPI,Electronics,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.61,2.0,2.0,9999.0,0.0,0.9496744677107161,1
11,3,30.17,SBI,UPI,UPI,Shopping,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.555,4.0,2.0,9999.0,0.0,0.9496744677107161,1
12,3,206.88,Axis,Mastercard,CARD,Shopping,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.555,4.0,2.0,9999.0,0.0,0.9580620564255967,1
13,4,1508.67,Kotak,UPI,UPI,Shopping,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,153.5,0.0,0.0,9999.0,0.0,0.9731147540983607,1
14,4,43.78,ICICI,Mastercard,CARD,Fuel,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,153.5,0.0,0.0,9999.0,0.0,0.975558867362146,0
15,5,86.34,SBI,Mastercard,CARD,Shopping,Android,HIGH,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.89333333333333,2.0,0.0,9999.0,0.0,0.954249516100651,1
16,5,33.04,HDFC,Visa,CARD,Shopping,Android,LOW,R2,0.9344855305466238,99.96616559485531,1.45,,,,0.0,0.0,9999.0,0.0,0.9344855305466238,1
17,5,23.14,Axis,UPI,UPI,Shopping,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.89333333333333,2.0,0.0,9999.0,0.0,0.9612880520851662,1
18,5,767.6,Axis,Rupay,CARD,Food,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.89333333333333,2.0,0.0,9999.0,0.0,0.9612880520851662,1
19,6,295.18,ICICI,Visa,CARD,Electronics,Android,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,86.59,1.0,1.0,9999.0,0.0,0.9344855305466238,1
20,6,73.05,HDFC,UPI,UPI,Healthcare,Web,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,193.48333333333335,0.0,0.0,9999.0,0.0,0.9703626220362622,1
21,7,134.34,BOB,UPI,UPI,Shopping,Web,MEDIUM,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,75.505,2.0,1.0,9999.0,0.0,0.9344855305466238,1
22,8,317.87,SBI,UPI,UPI,Fuel,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,0.5,0.8,141.78999999999996,0.0,0.0,4.0,1.0,0.9731147540983607,1
23,8,1090.41,HDFC,UPI,UPI,Fuel,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,104.828,0.0,0.0,9999.0,0.0,0.9496744677107161,1
24,9,285.17,HDFC,Mastercard,CARD,Fuel,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,0.6666666666666666,0.8333333333333334,139.11666666666665,1.0,1.0,5.0,1.0,0.9775956284153006,1
25,9,202.26,Axis,UPI,UPI,Healthcare,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,0.6666666666666666,0.8333333333333334,139.11666666666665,1.0,1.0,5.0,1.0,0.9731147540983607,1
26,9,257.49,SBI,Mastercard,CARD,Shopping,Android,MEDIUM,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,188.05999999999995,0.0,0.0,9999.0,0.0,0.9644351464435147,1
27,10,278.72,SBI,Rupay,CARD,Shopping,Android,MEDIUM,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.0275,1.0,0.0,9999.0,0.0,0.9580620564255967,1
28,11,381.3,Kotak,Rupay,CARD,Food,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,99.67000000000002,1.0,1.0,9999.0,0.0,0.954249516100651,1
29,11,151.62,Axis,UPI,UPI,Travel,Android,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,198.16499999999996,1.0,0.0,9999.0,0.0,0.9644351464435147,1
30,11,145.85,SBI,Rupay,CARD,Shopping,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,99.67000000000002,1.0,1.0,9999.0,0.0,0.9612880520851662,1
31,11,3719.26,HDFC,UPI,UPI,Shopping,iOS,MEDIUM,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.875,140.11666666666665,2.0,0.0,7.0,0.0,0.9793190416141235,1
32,12,967.85,SBI,UPI,UPI,Electronics,Android,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,87.75999999999999,0.0,0.0,9999.0,0.0,0.9344855305466238,1
