original_feature,importance,importance_pct
amount,5547,7.406368916483077
minute,5266,7.031176981106883
route_latency_ratio,5043,6.733426797516523
bank_route_success_rate_15m,4548,6.072501502102944
bank_route_gap,4237,5.657253488216837
route_avg_latency_5m,4165,5.561118899793044
amount_to_bank_avg_ratio,4124,5.506375592496162
time_since_last_failure,3508,4.68389078042593
network_failure_rate_5m,3336,4.454235930302423
route_stress,3066,4.093731223713198
hour_of_day,3059,4.084384805394219
bank_failure_rate_5m,2735,3.6517791574871485
route_current_load,2553,3.4087722811936714
time_since_last_bank_route_success,2392,3.1938046598571335
route_requests_1m,2153,2.8746912343948194
route_success_rate_15m,2118,2.82795914279992
route_success_drop_15m,2023,2.7011148941851926
day_in_week,1699,2.2685092462781227
route_success_rate_5m,1527,2.0388543961546164
route_success_drop_5m,1338,1.786501101542159
route_failure_rate_15m,1062,1.4179851792509512
route_failure_rate_1m,968,1.292476133253221
route_failure_rate_5m,702,0.9373122371319847
device_Android,451,0.6021763802657053
merchant_Shopping,426,0.5687963148407771
device_iOS,414,0.5527738834368116
merchant_Food,385,0.5140530075438947
device_Web,377,0.5033713866079178
merchant_Fuel,368,0.49135456305494357
network_UPI,355,0.4739969290339809
bank_HDFC,349,0.4659857133319982
bank_ICICI,339,0.4526336871620269
bank_SBI,332,0.44328726884304687
network_Visa,319,0.4259296348220843
merchant_Healthcare,303,0.4045663929501302
bank_Axis,294,0.392549569397156
risk_LOW,291,0.3885439615461646
risk_MEDIUM,284,0.37919754322718474
bank_Kotak,276,0.36851592229120766
network_Mastercard,275,0.36718071967421057
merchant_Electronics,263,0.35115828827024503
route_base_success_rate,262,0.3498230856532479
merchant_Travel,243,0.3244542359303024
route_base_latency_ms,230,0.30709660190933974
bank_BOB,209,0.27905734695240003
network_Rupay,209,0.27905734695240003
risk_HIGH,167,0.2229788370385206
route_cost_percent,163,0.2176380265705321
payment_method_CARD,83,0.11082181721076172
route_id_R3,24,0.032044862807931104
route_id_R2,14,0.01869283663795981
payment_method_UPI,12,0.016022431403965552
route_id_R4,3,0.004005607850991388
route_flagged_down,3,0.004005607850991388
route_id_R1,3,0.004005607850991388
