original_feature,importance,importance_pct
time_since_last_failure,15410,8.290473218704943
amount,13858,7.455507973057307
network_failure_rate_5m,11885,6.394047644666337
bank_route_success_rate_15m,11757,6.325184531623234
bank_route_gap,10509,5.6537691794529685
system_tps,10244,5.511201015730918
amount_to_bank_avg_ratio,10169,5.470851535432224
route_utilization,10168,5.470313542361574
bank_failure_rate_5m,9334,5.0216273214401
route_stress,8132,4.374959650519701
route_success_drop_5m,6759,3.636295164518281
route_success_drop_15m,6662,3.5841098366653035
route_success_rate_5m,6231,3.352234823215477
hour_of_day,6193,3.3317910865308056
route_success_rate_15m,5790,3.114979879059158
time_since_last_bank_route_success,5490,2.9535819578643827
day_in_week,4756,2.558695044007833
route_failure_rate_15m,4232,2.276786674987626
route_failure_rate_1m,3379,1.8178785857238158
route_failure_rate_5m,3343,1.7985108351804429
route_avg_latency_5m,2963,1.5940734683337277
route_latency_ratio,1753,0.9431018528481353
device_iOS,1006,0.5412210290731455
merchant_Food,978,0.5261572230949666
device_Android,976,0.525081236953668
device_Web,969,0.5213152854591233
merchant_Shopping,962,0.5175493339645785
bank_SBI,875,0.4707439368180938
network_UPI,857,0.46106006154640733
merchant_Fuel,812,0.43685037336719107
bank_ICICI,783,0.42124857431836277
network_Visa,754,0.4056467752695346
bank_HDFC,724,0.38950698315005705
merchant_Healthcare,692,0.372291204889281
network_Mastercard,652,0.35077148206331105
network_Rupay,633,0.34054961372097525
risk_MEDIUM,623,0.3351696830144828
bank_Axis,610,0.3281757730960425
risk_LOW,607,0.3265617938840948
bank_Kotak,599,0.3222578493189008
merchant_Electronics,554,0.2980481611396845
merchant_Travel,507,0.2727624868191698
bank_BOB,460,0.24747681249865502
route_base_success_rate,338,0.1818416578794465
route_base_latency_ms,297,0.15978394198282725
route_cost_percent,258,0.13880221222750652
risk_HIGH,243,0.13073231616776776
payment_method_CARD,64,0.034431556521552005
route_id_R3,11,0.0059179237771417505
route_id_R2,8,0.004303944565194001
route_flagged_down,7,0.0037659514945447502
payment_method_UPI,0,0.0
route_id_R4,0,0.0
route_id_R1,0,0.0
